TITLE,TAG
"Chrissy Teigen has deleted her Twitter account
",World
"NAB Lahore office, surroundings declared red zone ahead of Maryam's appearance
",Pakistan 
"Are the proposed amendments to the State Bank Act inevitable?
",Business
"Editorial: The latest opportunity for peace between Pakistan and India must not be lost
",World
"Red Zone Files: Have PTI and PDM together dumbed down politics in Pakistan?
",Pakistan 
"Evidence emerges of ‘brand new’ particle at CERN
",Newspaper 
"Accountability: an endless affair
",Pakistan 
"Pakistan shows off military might at annual parade in Islamabad
",Pakistan 
"UN body urges action over Myanmar crackdown
",Newspaper 
"Taliban reject Afghan president’s proposal for election
",Newspaper 
"Extinct tree-climbing kangaroo in a ‘treeless plain’
",Newspaper 
"Govt raises Rs1.52tr through T-bills auction
",Newspaper 
"Alvi signs ordinance to withdraw corporate tax exemptions
",Newspaper 
"Minister concerned over flour shortage in Bajaur
",Pakistan 
"Court order on plea against Aurat March tomorrow
",Pakistan 
"Schools closure extended until April 11 in KP over Covid spike
",Pakistan 
"President confers military awards
",Pakistan 
"Monal Restaurant built on CDA land, PAC told
",Pakistan 
"Capital admin amends restrictions on various activities
",Pakistan 
"Load of critical patients in Lahore increasing alarmingly
",Pakistan 
"CM doles out Rs25bn projects during his tour to three dists
",Pakistan 
"Trains to run with 70pc occupancy
",Pakistan 
"All educational institutions to remain open in Sindh
",Pakistan 
"Sindh Assembly condoles death of MPA Halepoto, defers agenda
",Pakistan 
"Sindh seeks agreement with centre to continue operations of three key hospitals
",Pakistan 
"Debutant Nissanka stars as Sri Lanka build lead over WI
",Newspaper 
"Blatter banned  by FIFA second time for financial wrongdoing
",Newspaper 
"Depth in women’s tennis no surprise for top players
",Newspaper 
"Messi lookalike thrills football-loving orphans in Egypt
",Newspaper 
"Proposals for privatisation of 10 Discos finalised
",Newspaper 
"DHA distances itself from Multan felling of trees
",Pakistan 
"Rangers to be deployed at NAB office on Maryam’s appearance tomorrow
",Pakistan 
"Afghan border fencing progress reviewed
",Pakistan 
"Disappearance of 20 presiding officers a serious lapse: SC judge
",Pakistan 
"Pemra asks TV channels to avoid ‘maligning’ NAB
",Pakistan 
"‘Double mutant variant’ of Covid detected in India
",Newspaper 
"Fazl, Zardari vow to keep PDM intact
",Pakistan 
"IMF board agrees to release $500m for Pakistan
",Newspaper 
"Tareen, Hamza face arrest in sugar scandal
",Pakistan 
"Govt seeks property deals details to meet FATF criteria
",Newspaper 
"Man axed to death over blasphemy allegations in Punjab's Jhang
",Pakistan 
"Four people killed in Bangladesh during protests against Modi's visit: police
",World
"SAPM Nadeem Babar asked to step down over fuel crisis: Asad Umar
",Pakistan 
"Man arrested for impersonating 'colonel of sensitive agency' to extort citizens in Karachi
",Pakistan 
"India’s PM Modi faces big electoral test in Muslim areas
",World
"Those who betray PDM will pay 'high price': PML-N on Gilani's nomination
",Pakistan 
"Pakistan successfully test-fires Shaheen 1-A ballistic missile
",Pakistan 
"Peshawar court orders registration of FIR against Aurat March Islamabad organisers
",Pakistan 
"Thank you Strings for all the memories, love Dawn.com
",Pakistan 
"Strings has broken up after 33 years and fans are devastated but 'forever grateful'
",Pakistan 
"PTI's Haleem, others indicted for instigating violence during Karachi's PS-88 by-poll
",Pakistan 
"The Karachi Literature Festival goes online for its 2021 edition
",Pakistan 
"Gilani notified as Senate opposition leader
",Pakistan 
"Pakistan records over 4,000 cases for first time since July as Punjab, KP drive spike
",Pakistan 
"Pakistan reacts to the death of Haseena Moin
",Pakistan 
"Arrested Development, Archer actor Jessica Walter dies at 80
",World
"What's behind the rise of the retail investor?
",Business
"Pakistan's first TV host Kanwal Naseer passes away
",Pakistan 
"Iconic dramatist Haseena Moin passes away in Karachi at 79
",Pakistan 
"Why the proposed amendments to the SBP Act are completely misplaced in Pakistan’s context
",Business
"Even if India-Pakistan negotiations are restored they will go nowhere on Kashmir
",World
"Editorial: Shouldn’t the govt focus more on real reforms instead of cosmetic changes to qualify for IMF dollars?
",Business
"Modi pushes to win West Bengal against formidable opposition
",Newspaper 
"Egypt shuts Suez Canal amid struggle to refloat grounded megaship
",Newspaper 
"US, UK sanction companies with links to Myanmar junta
",Newspaper 
"Biden says ‘hard’ to meet Afghan pullout deadline
",Newspaper 
"Netanyahu falls two seats short of majority
",Newspaper 
"Pakistan-origin driver killed during carjacking in US
",Newspaper 
"Janikhels refuse to end protest despite govt’s assurance
",Pakistan 
"KP markets to remain closed on Fridays, Saturdays
",Pakistan 
"Government’s move to reduce tenure of HEC chairman appreciated
",Pakistan 
"Two centres set up to vaccinate 4,000 people a day in capital
",Pakistan 
"Rs1.3bn irregularities detected in ICT admin’s financial affairs
",Pakistan 
"11 areas in three Punjab cities under smart lockdown
",Pakistan 
"Vaccination of Shehbaz ordered
",Pakistan 
"Gang-rape convicts challenge sentence
",Pakistan 
"Essential commodities: Punjab cabinet okays laws to curb price manipulation
",Pakistan 
"Govt, opposition ready to join hands over court ruling on dog-bite cases
",Pakistan 
"‘Two men killed with Naqeeb went missing two years before their murder’
",Pakistan 
"Muttahida renews demand for ‘urban Sindh’ province
",Pakistan 
"Missed penalty foils Masha’s chances of making a statement
",Newspaper 
"Injured Morgan out of final two India ODIs
",Newspaper 
"Moody urges SL to end survival culture in cricket
",Newspaper 
"Team selected for SA series capable, well balanced: Misbah
",Newspaper 
"Start of Tokyo Games torch relay offers ray of hope
",Newspaper 
"Bullish trend continues on PSX
",Newspaper 
"Pakistan hires banks for three-tranche dollar bond sale
",Newspaper 
"Construction work on Bhasha, Tangir projects reviewed
",Newspaper 
"Global car production plunged in 2020, say automakers
",Newspaper 
"Pact signed to assemble European brand vehicle
",Newspaper 
"SBP relaxes conditions to facilitate low-cost housing
",Newspaper 
"India may not join anti-terror military exercise in Pakistan
",Newspaper 
"Criticism as PM holds meeting with media team
",Pakistan 
"Imran felicitates BD premier on anniversary
",Newspaper 
"Balochistan govt approves health insurance facility for 1.8m families
",Pakistan 
"PPP, PML-N trying to resolve differences over Senate slot
",Pakistan 
"Proposed law provides blanket indemnity to SBP top guns
",Newspaper 
"O Level exams to be held after May 15, says minister
",Pakistan 
"Heatwaves likely to become more common in South Asia: researchers
",Newspaper 
"India shares information on two power projects
",Newspaper 
"Govt to build up revenue as IMF revives package
",Newspaper 
"Eight more sugar groups booked for speculative price hike
",Pakistan 
"Deaths from Covid cross 14,000 mark in Pakistan
",Pakistan 
"SC orders restoration of LG institutions in Punjab
",Pakistan 
"5 killed, at least a dozen injured in blast at Quetta's Serena Hotel
",Pakistan 
"India's Border Security Force wants FIR registered against pigeon found near Pakistan border
",World
"210 cases, including one filed against Saad Rizvi, to go through legal process: Sheikh Rashid
",Pakistan 
"US commission says religious freedom in India deteriorating further
",World
"Three years after Dubai princess' failed escape attempt, Frenchman who helped her recounts ordeal
",World
"Rizwan shines for Pakistan in T20 victory over Zimbabwe
",Sports
"Bakhtiar asks PM to transfer Sugar Advisory Board to another ministry over perceived 'conflict of interest'
",Pakistan 
"European Super League shelved as more football clubs withdraw
",World
"Model Tooba Siddiqui makes her writing debut with thriller drama Ghum
",Pakistan 
"NA Secretariat asks PML-N's Abbasi to apologise over 'continuous misbehaviour'
",Pakistan 
"UK Covid-19 variant found in 50pc of positive cases in Karachi: Sindh health minister
",Pakistan 
"Disruption in oxygen supply kills 22 in Indian hospital
",World
"Met department predicts heatwave in Karachi from April 23 to 25
",Pakistan 
"HBL doubles Q1 profit to Rs14.5bn
",Business
"Singer Ali Haider is back in action with a new show
",Pakistan 
"Charging for the EV opportunity
",Pakistan 
"Major cities may be closed down if current Covid-19 wave continues, warns Asad Umar
",Pakistan 
"Ali Gul Pir's parody of Hina Altaf and her anday wala burger is hilarious and she thinks so too
",Pakistan 
"Whether you like her art or not, Misha Japanwala made it to Forbes 30 Under 30 Asia List
",Pakistan 
"FO hails Pakistan's election to 3 key UN bodies
",World
"Aagha Ali's Mujhe Khuda Pe Yaqeen Hai is leading the rating chart with high TRPs
",Pakistan 
"UAE may impose virus curbs on unvaccinated people, official says
",World
"Producer Omer Paracha wants to bring Hollywood to Pakistan
",Pakistan 
"After fighting for nearly two decades, the US is finally exiting an unwinnable war
",World
"Editorial: It is important that the govt brings transparency to all its dealings with the TLP
",Pakistan 
"Starvation awaits drivers working along Pak-Iran border
",Pakistan 
"Ex-policeman in US found guilty of George Floyd's murder
",World
"Covid positivity level drops in Mardan, goes up in Peshawar
",Pakistan 
"62pc ADP funds utilised in third quarter of current fiscal
",Pakistan 
"KP legislates to reverse increase in retirement age
",Pakistan 
"PMC sacks 12 employees, continues appointing new ones
",Pakistan 
"New SOPs issued for inbound travellers
",Pakistan 
"Over 100 activists of banned outfit booked in Rawalpindi
",Pakistan 
"NAB seeks approval to close inquiries against Chaudhrys
",Pakistan 
"Over 100 physiotherapists relieved of duty in Punjab
",Pakistan 
"Naya Pakistan apartments: 2,000 govt employees picked thru’ balloting in Lahore
",Pakistan 
"Key ‘BLA man’ held in Saeedabad, AK-47 recovered
",Pakistan 
"Murad approves Rs17.7bn for snorkels, fire tenders, refuse trucks
",Pakistan 
"Federal secretary asked to speed up legislation for personal data protection
",Pakistan 
"UN rights experts call for release of Dubai ruler’s daughter
",Newspaper 
"US general says has doubts about Taliban’s reliability
",Newspaper 
"S. Koreans shave heads to protest Japan’s N-waste water plan
",Newspaper 
"Afghan peace conference put off over Taliban non-participation
",Newspaper 
"Czechs threaten to expel all Russian diplomats
",Newspaper 
"Americans advised against travel to India
",Newspaper 
"PCB, ICC yet to get written assurance of visa from BCCI
",Newspaper 
"Sri Lanka bank on speed to revive Test fortunes in BD series
",Newspaper 
"Pakistan must develop skills to tackle spin for success in T20 World Cup: Misbah
",Newspaper 
"Pakistan seek to maintain T20 winning run in Zimbabwe
",Newspaper 
"Economy to stay in low growth spiral: think tank
",Newspaper 
"Housing finance fails to pick up momentum
",Newspaper 
"SBP issues mechanism for housing loan payment
",Newspaper 
"CM calls for plan to promote handmade carpet industry
",Pakistan 
"Justice Isa’s wife claims SC is treating her case ‘differently’
",Pakistan 
"Eight schools running with foreign funding in Quetta
",Pakistan 
"Govt may ban travellers from more countries after India
",Pakistan 
"Third border crossing point with Iran being inaugurated today
",Pakistan 
"Railway project sent to Chinese bank for approval of $6bn loan
",Newspaper 
"LHC censures Punjab govt for making people line up to buy sugar
",Pakistan 
"China tech stampede into electric cars sparks auto sector buzz
",Newspaper 
"Cabinet gives go-ahead to reforms in govt functioning
",Pakistan 
"Circular debt plan outline shared with WB
",Newspaper 
"Govt approves centralised database plan for food stock
",Newspaper 
"Indonesian leader orders all-out effort to find submarine as oxygen runs low
",World
"Pakistani student blinded, disfigured in ‘heinous’ acid attack outside her home in US
",World
"The legal war between the Saudis and their former spymaster
",World
"Algerian academic gets 3 years in jail for 'offending Islam'
",World
"Ramazan nights see Israeli police and Palestinians face off in Jerusalem
",World
"How long does protection from Covid-19 vaccines last?
",World
"Explainer: Why India is shattering global infection records
",World
"The Covid pandemic is a gendered crisis but the media is ignoring that
",Pakistan 
"Shehbaz to be released from jail as bail approved by LHC in money laundering case
",Pakistan 
"The government will be giving Rs50m loans to young filmmakers
",Pakistan 
"Greta Thunberg docuseries amplifies her climate change fight
",World
"Have been assured of meeting with PM Imran, says Tareen
",Pakistan 
"Nasa extracts breathable oxygen from thin Martian air
",World
"It's a compliment contest between Maya Ali and Ayesha Omar on Instagram
",Pakistan 
"Sunita Marshal says she and the director made a 'bhund' in Khuda Aur Muhabbat 3
",Pakistan 
"'Situation very critical': India records world's biggest single-day rise in coronavirus cases
",World
"Akshay Kumar might be replacing Kartik Aryan in Dostana 2
",World
"Action needed to bring down retail vegetable prices
",Business
"What challenges will  Shaukat Tarin have to navigate as finance minister?
",Pakistan 
"When it comes to sexual violence, women are conventionally perceived as both vulnerable and culpable
",Pakistan 
"Two officials sacked by Petroleum Division for fake reports
",Business
"Red Zone Files: Jahangir Tareen may be disqualified but he is clearly not defanged
",Pakistan 
"GB court asks govt to hold local body polls
",Pakistan 
"Border security common concern of Pakistan and Iran: Rouhani
",World
"Major cities may be closed if Covid situation worsens
",Pakistan 
"Elite trying to avoid accountability, rule of law, says PM
",Pakistan 
"ATC grants bail to over 100 TLP activists in Peshawar
",Pakistan 
"Free treatment scheme to be extended to entire country: PM
",Pakistan 
"74pc lights on roads, parks restored in Islamabad: CDA
",Pakistan 
"Buddhist hymns echo in ancient monastery near Taxila after years
",Pakistan 
"MPs made PML-N attend on-going NA session
",Pakistan 
"214 TLP activists placed under Fourth Schedule in Punjab
",Pakistan 
"LHC rebukes law officer for justifying sugar queues
",Pakistan 
"Govt-TLP accord ‘upsets’ police high-ups in Punjab
",Pakistan 
"Relatives of ‘missing’ persons hold protest outside Governor House in Karachi
",Pakistan 
"After PML-N, PSP also opposes Sindh govt, MQM’s pleas for NA-249 by-poll delay
",Pakistan 
"Ruckus in PA as PPP, PTI lawmakers almost come to blows
",Pakistan 
"Putin warns West against ‘crossing red line’
",Newspaper 
"Madrid man faces 15 years in jail for killing, eating mother
",Newspaper 
"Parted couple overcome pain of pandemic through glass in Spain
",Newspaper 
"Black teenager shot dead by police in Ohio
",Newspaper 
"Biden likely to unveil plan to cut emissions at climate summit
",Newspaper 
"Ton-up Najmul leads strong BD response in first SL Test
",Newspaper 
"Tokyo organisers to delay decision on spectator limits
",Newspaper 
"Prolific Babar moves to second spot in T20 rankings
",Newspaper 
"Tarin lauds SBP for shielding businesses amid pandemic
",Newspaper 
"Silkbank seeks another extension for accounts finalisation
",Newspaper 
"New system for cargo clearance launched
",Newspaper 
"Govt raises Rs708bn, cuts yields on T-bills
",Newspaper 
"Tourism putting stress on Pakistan environment: study
",Pakistan 
"PTV to be run on modern lines, says Fawad
",Pakistan 
"Third border crossing point with Iran opened
",Pakistan 
"Alyani seeks Chinese cooperation in various fields
",Pakistan 
"Over 40m children vaccinated against polio in Pakistan
",Pakistan 
"Isa says FBR chiefs changed to frame case against his spouse
",Pakistan 
"NAB files reference against three Balochistan Development Authority chairmen
",Pakistan 
"PML-N seeks ‘clarifications’ to prepare joint resolution
",Pakistan 
"IHC asks officials to curb bonded labour in Islamabad
",Pakistan 
"Power consumers to get 61-paisa tariff cut for March
",Newspaper 
"US disagrees that Israel carrying out 'apartheid' against Palestinians
",World
"Why is there a shortage of medical oxygen and how is it made?
",World
"Saudi crown prince seeks good relations with Iran
",World
"Drap approves country's 'first ICU ventilator' developed by Pakistan Atomic Energy Commission
",Pakistan 
"As foreign troops leave Afghanistan, US lawmakers fear dark future for women
",World
"Dubai police arrest attackers in massive brawl that led to 3 deaths
",World
"Ahsan Khan is launching his own clothing brand but you've seen the designs before
",Pakistan 
"Government cancels CAIEs, postpones all exams till June 15, and Twitter has mixed reactions
",Pakistan 
"As Eid approaches, some Karachi salons defy government orders and secretly remain open
",Pakistan 
"2.1 million Covid-19 vaccine doses administered: Asad Umar
",Pakistan 
"India’s coronavirus deaths exceed 200,000 after record surge in cases
",World
"Farogh Naseem, Shehzad Akbar 'refute baseless allegations' by ex-FIA DG regarding Justice Isa
",Pakistan 
"President Arif Alvi and First Lady Samina Alvi get candid about marriage, humour and love letters
",Pakistan 
"Pakistan sees record Covid-19 deaths as officials consider stricter lockdowns
",Pakistan 
"Twinkle Khanna arranges 100 oxygen concentrators as India's battle with Covid-19 rages on
",World
"Students demand Education Minister Shafqat Mahmood's resignation over handling of exams
",Pakistan 
"Harry and Meghan to lead ‘Vax Live’ fundraising concert
",World
"Pakistani art export grows enormously amid Covid
",Pakistan 
"The one major flaw in Pakistan’s vaccine protocol
",Pakistan 
"Pakistan Mercantile Exchange can be a solution to the recurring sugar crisis
",Business
"New Delhi’s silence over talks with Pakistan raises some questions about our own optimism
",World
"Editorial: The SC verdict in the Justice Isa case is a triumph of the rule of law and constitutionalism
",Pakistan 
"SIU arrests ‘would-be’ bomber near Manghopir Road
",Pakistan 
"Sindh cabinet approves draft law to set up water commission, services regulator
",Pakistan 
"Show-cause notices issued to secretaries for not fixing corona vaccine price
",Pakistan 
"Russia fines Apple $12m for ‘abusing’ its position
",Newspaper 
"US school asks vaccinated teachers to stay away
",Newspaper 
"HRW accuses Tel Aviv of pursuing ‘apartheid’ against Palestinians, Arab minority
",Newspaper 
"Guerillas capture Myanmar army base; junta replies with air strikes
",Newspaper 
"South Asia pushing global infections to 15m a day, says US report
",Newspaper 
"Zarif bemoans ‘military clout’ in leaked audio
",Newspaper 
"PM asks for formula to retire circular debt
",Newspaper 
"Housing finance goes up by record 36pc
",Newspaper 
"Third-party inspector for testing gas meters named
",Newspaper 
"April may record inflation in double digits
",Newspaper 
"EOBI website says it has 86,989 active registered employers
",Newspaper 
"Pak-Afghan border reopened
",Pakistan 
"Use of laptops for scrutiny of PTI accounts disallowed
",Pakistan 
"PHC confirms pre-arrest bail of Safdar over assets inquiry
",Pakistan 
"Land dispute, lack of facilities plaguing Regi Model Town
",Pakistan 
"Five medical colleges involved in irregularities, PHC told
",Pakistan 
"Registration of ventilators with Drap to be expedited, says minister
",Pakistan 
"AJK EC prepares action plan for smooth conduct of polls
",Pakistan 
"Record 107 Covid deaths: Understaffed centres stymie  vaccination pace in Punjab
",Pakistan 
"‘Incitement against institutions’ case: Javed Latif moves LHC against arrest
",Pakistan 
"Sugar scam probe hangs in the balance
",Pakistan 
"Ashfaq group willing to vacate PFF HQ if NC holds elections in September
",Newspaper 
"Wimbledon to become14-day event from 2022
",Newspaper 
"Nagelsmann to replace Flick as Bayern coach from next season
",Newspaper 
"We’ll get you home safely, BCCI tells IPL players
",Newspaper 
"Iran partially closes border due to rising Covid-19 cases
",Pakistan 
"Construction of Hoshab-Awaran road launched
",Pakistan 
"Fears persist as guns fall silent along LoC
",Newspaper 
"Tarin extends govt support to K-Electric
",Newspaper 
"Plan to split PIA into two firms
",Newspaper 
"PM hints at lockdown in virus-hit cities
",Pakistan 
"Outrage after hotel booked as Covid hospital for Delhi judges
",Newspaper 
"22 senior officers likely to be shown the door
",Pakistan 
"SC sends home 53 FIA officials inducted in 1989
",Pakistan 
"Fiscal deficit at 3.5pc of GDP in eight months of current fiscal
",Newspaper 
"Maryam scolds govt over ‘secret talks’ with India
",Pakistan 
"PM to monitor case against Tareen, not to influence FIA
",Pakistan 
"Indian police visit Twitter offices after government tweet flagged
",World
"Makkah Grand Mosque attacker claims to be Imam Mehdi: report
",World
"Shahid Afridi ruled out of PSL 6 after back injury during training
",Sports
"Two ex-PIA chairmen, former CEO booked for causing loss of Rs1.25 billion
",Pakistan 
"In first meeting, Pakistan and US NSAs discuss bilateral issues, ways to advance cooperation
",World
"Tribal chief, sons arrested in Karachi after police killings in Shikarpur anti-bandit operation
",Pakistan 
"US State Secretary Blinken heads to Mideast to push peace talks after Gaza truce
",World
"PM Imran briefed on national and regional security situation during visit to ISI headquarters
",Pakistan 
"Zimbabwe Cricket gets sponsor for shoes after player laments using glue to hold them together
",Sports
"Actor Nausheen Shah faces backlash and attacks for her post about being unmarried in Pakistan
",Pakistan 
"Pakistan bans Mia Khalifa on TikTok, but she refuses to submit to 'fascism'
",Pakistan 
"India on alert ahead of second powerful cyclone in 10 days
",World
"Confusion as Bangladesh drops ‘except Israel’ from new passports
",World
"Christian Betzmann says Pakistan needs to accept constructive criticism in his non-apology
",Pakistan 
"Indian police register case against Muslim man beaten up by 'cow vigilantes'
",World
"Myanmar's Suu Kyi appears in court in person for first time since coup
",World
"Sindh currently has half of country's active Covid cases: CM Murad
",Pakistan 
"Mohlat shows a love triangle between Danial Khan, Sami Khan and Kinza Hashmi but is 'more than a love story'
",Pakistan 
"Crypto miners halt China business after Beijing cracks down, bitcoin tumbles
",World
"British singer Dua Lipa slams New York Times ad calling her anti-semitic for supporting Palestine
",World
"In memoriam: Our Big Bird, Farooq Qaiser
",Pakistan 
"Drake, Pink, The Weeknd win big at Billboard Music Awards
",World
"India's coronavirus death toll passes 300,000, 3rd highest in world
",World
"How Pakistan offers a major opportunity for digital banking
",Business
"The debate around central bank digital currencies should revolve around the value it exactly adds
",Business
"Conflict of interest doesn’t seem to apply to journalists who have affiliations with Israel
",World
"While a ceasefire has brought Israeli aggression to an end, this will only be a lull before the next storm
",World
"Editorial: To render someone stateless is a grave violation of rights
",Pakistan 
"The mental scars of the children of Gaza
",World
"Inside the race to find a Covid-19 treatment pill
",Newspaper 
"Is this really growth?
",Newspaper 
"Sialkot — a city with many feathers in its cap
",Newspaper 
"Greater fiscal discipline required
",Newspaper 
"Qamar Riaz-ul-Haq’s death – a loss for sports fraternity
",Newspaper 
"Verstappen wins Monaco GP to take F1 lead after Leclerc withdrawal
",Newspaper 
"Mehidy helps Bangladesh beat SL in Covid-hit ODI
",Newspaper 
"Koto hydropower project to be completed by Dec
",Pakistan 
"Scholarships for seminary students on cards
",Pakistan 
"Oxygen plants being set up in 10 districts for serious patients
",Pakistan 
"Pakistan wins WHO’s award for anti-tobacco campaign
",Pakistan 
"No progress on probe into Rawalpindi Ring Road project scam
",Pakistan 
"Punjab accused of not allowing millers to purchase wheat
",Newspaper 
"Ban on inbound travel extended
",Pakistan 
"Rs10bn mega development package approved for Gujrat
",Pakistan 
"Two per cent job quota for transpersons fixed in Punjab
",Pakistan 
"Second suspect in UK national girl’s murder case arrested in Lahore
",Pakistan 
"Lodhran DPO transferred on ‘Tareen camp demand’
",Pakistan 
"Cyclists hold ride for Palestine in Karachi
",Pakistan 
"Bill for protection of media persons presented in Sindh Assembly
",Pakistan 
"Over 100 Pakistani women doctors offering telemedicine to people of Palestine
",Pakistan 
"Shamed BBC journalist apologises over Diana interview
",Newspaper 
"Photos stir speculation about Dubai’s princess
",Newspaper 
"125,000 Myanmar teachers suspended for opposing coup
",Newspaper 
"As US scales back in Mideast, China may step in: Centcom chief
",Newspaper 
"Pakistan to continue giving air, ground access, says Pentagon
",Newspaper 
"Thousands flee as volcanic lava gobbles up houses in DR Congo
",Newspaper 
"France fears ‘apartheid’ in Israel if Palestinians don’t get their own state
",Newspaper 
"Balochistan govt faces no threat: official
",Pakistan 
"FIR registered over Chaman bomb blast
",Pakistan 
"2 cops among 4 killed in anti-bandit operation in Shikarpur
",Pakistan 
"PML-N rejects govt claim about economic performance
",Pakistan 
"Rapid urbanisation taking its toll on public services
",Newspaper 
"Another cyclone looms for India, a week after deadly storm
",Newspaper 
"UN calls for ‘political process’ amid Gaza reconstruction
",Newspaper 
"Cable car crash leaves 13 dead in Italy
",Newspaper 
"Call for independent monitoring of barrages in Punjab, Sindh
",Pakistan 
"Shehbaz move to heal PDM rift unlikely to pay off
",Pakistan 
"WHO urged to help resolve vaccine acceptability issue
",Pakistan 
"PTI will remain unbowed amid ‘mafia’ pressure: PM
",Pakistan 
"British Virgin Islands court unfreezes PIA assets in Reko Diq award case
",World
"Blinken announces US aid to Gaza, pledges to reopen Jerusalem consulate
",World
"PM Imran directs interior minister to visit Sindh, prepare strategy to deal with rising crime in province
",Pakistan 
"Army huddle takes 'serious note' of cross-border firing incidents, asks Afghanistan to regulate border
",Pakistan 
"Marvel channels Bollywood in its first teaser for upcoming film Eternals
",World
"Asad Umar defends economic growth figures, credits PM Imran's coronavirus strategy for better performance
",Pakistan 
"Sindh imposes additional Covid-19 restrictions, including ban on gatherings of over 10 people
",Pakistan 
"Imran Abbas and Ushna Shah forget to tell each other about their marriage
",Pakistan 
"UK prime minister offers qualified apology for remarks on Islam
",World
"Media, think tanks set to boost RCEP exchanges
",World
"RCEP to accelerate the recovery of global economy
",World
"PPP needs to rebuild trust before it can rejoin PDM: Abbasi
",Pakistan 
"Nadia Hussain and Nabila take their fight over makeup palettes to Instagram
",Pakistan 
"UNSC in no position to ‘fudge’ Palestine issue anymore: FM Qureshi
",World
"Actor Mark Ruffalo apologises for supporting Palestine, says there's 'no genocide'
",World
"Shafqat Mahmood tests positive for Covid-19
",Pakistan 
"Timothée Chalamet to play Willy Wonka in origin story
",World
"Bilal Maqsood dedicates heartfelt rendition of 'Aakhri Alvida' to Palestinians
",Pakistan 
"No US military or air base in Pakistan: FO
",World
"When it comes to supporting Palestine, practical steps must accompany solidarity protests
",World
"The Israeli state is trying to erase the memory of the horrors inflicted on Palestinians since the Nakba
",World
"Editorial: Chaudhry Nisar is not likely to have decided to return to active politics without a clear plan
",Pakistan 
"Pakistan taekwondo team returns after participating in Olympic qualifiers
",Newspaper 
"Flight cancellations deprive Pakistan of participation in Asian boxing
",Newspaper 
"Ramos exclusion leaves Real with no players in Spain’s Euro 2020 squad
",Newspaper 
"SCBA chief’s bail confirmed in judge murder case
",Pakistan 
"KP Lawmakers unanimously call for Al Aqsa protection by OIC forces
",Pakistan 
"NA body approves MTI bill as opposition boycotts meeting
",Pakistan 
"Islamabad master plan revision body to get three new members
",Pakistan 
"Pakistan starts working on nasal Covid-19 vaccine
",Pakistan 
"Punjab Safe City Authority plagued with plethora of problems
",Pakistan 
"FIA man rewarded for stymieing Shehbaz’s departure
",Pakistan 
"LHC disposes of Shehbaz’s pleas as withdrawn
",Pakistan 
"Tareen group discusses future strategy today
",Pakistan 
"ACE launches probe into Pindi ring road scam on Buzdar’s orders
",Pakistan 
"CM allowed army to assist Rangers, police in Shikarpur operation, says Bijarani
",Pakistan 
"Development projects for several Sindh districts inaugurated
",Pakistan 
"MQM-P calls for amending Constitution to create more provinces
",Pakistan 
"Covid-19 hits people with diabetes harder than non-diabetics, say experts
",Pakistan 
"Sindh Assembly slams Irsa for slashing province’s water share
",Pakistan 
"BBC to conduct internal probe into Diana interview fiasco
",Newspaper 
"115,000 health workers have died from Covid, says WHO
",Newspaper 
"Scientists restore partial sight in blind man
",Newspaper 
"Afghan war displaced settle in ruins of a lost city
",Newspaper 
"Pressure mounts on Belarus over forced landing
",Newspaper 
"50 Taliban killed in clash with Afghan forces
",Newspaper 
"Moody’s sees robust GDP growth potential
",Newspaper 
"NA panel endorses inspectors to check water losses
",Newspaper 
"SBP fully backs 3.94pc growth rate estimate
",Newspaper 
"Next budget envisages all-inclusive sustainable economic growth: Tarin
",Newspaper 
"Wapda’s Indus Bond listed on London Stock Exchange
",Newspaper 
"FC man, 4 Uzbek labourers injured in Quetta blast
",Pakistan 
"NA extends tax amendment ordinance for another 120 days
",Pakistan 
"Haider warns against putting AJK polls on hold
",Pakistan 
"Madina-like welfare state to be set up in phases: PM
",Pakistan 
"Govt wants early decision in former FIA chief’s pension case
",Pakistan 
"Petitioner seeks early hearing of case against Khusro, brother
",Pakistan 
"Senators ask world to take notice of atrocities in Palestine
",Pakistan 
"PM inaugurates ‘Ehsaas Savings Wallets’ initiative for poor women
",Newspaper 
"Govt to finance high-yielding crop research
",Newspaper 
"Shehbaz attempts to revive PDM in Bilawal’s absence
",Pakistan 
"Nisar’s long-delayed return to assembly foiled for now
",Pakistan 
"Meghan and Harry welcome daughter, name her after the Queen and Diana
",World
"Two drones shot down above Iraq base housing US troops: Iraqi army
",World
"Roger Federer withdraws from French Open
",Sports
"Attackers kill 88 people in northwest Nigeria
",World
"Players have lost interest in international cricket as leagues grow stronger: Faf du Plessis
",Sports
"Asad Umar rebuffs Sindh CM's letter, affirms commitment to Sindh's development
",Pakistan 
"Sindh extends business hours till 8pm but makes vaccination mandatory for traders
",Pakistan 
"Al Jazeera reporter forcefully detained by Israel
",World
"At least 132 civilians killed in Burkina Faso’s worst attack in years
",World
"PM personally handling Chinese vaccine issue with Saudi Arabia, other countries: Sheikh Rashid
",Pakistan 
"Is Fawad Khan joining Disney's much-anticipated Ms Marvel series?
",Pakistan 
"Israeli violence prompted 'uncomfortable' Israel-UAE conversations
",World
"Malala's crime is not her opinions on marriage — it's surviving and thriving
",Pakistan 
"Renowned singer S.B. John passes away in Karachi
",Pakistan 
"The economy is growing, so why isn't the common person benefitting?
",Pakistan 
"Islamabad's Khanna police SHO suspended for poor performance
",Pakistan 
